Id,PropertyClass,ZoningCategory,LandArea,RoadType,PlotShape,LandElevation,UtilityAccess,PlotConfiguration,LandSlope,District,NearbyTransport1,NearbyTransport2,PropertyType,HotelStyle,OverallQuality,OverallCondition,ConstructionYear,RenovationYear,RoofDesign,RoofMaterial,ExteriorPrimary,ExteriorSecondary,FacadeArea,ExteriorQuality,ExteriorCondition,FoundationType,BasementHeight,BasementCondition,BasementExposure,BasementFacilityType1,BasementFacilitySF1,BasementFacilityType2,BasementFacilitySF2,BasementUnfinishedSF,BasementTotalSF,HeatingType,HeatingQuality,CentralAC,ElectricalSystem,GroundFloorArea,UpperFloorArea,LowQualityArea,UsableArea,BasementFullBaths,BasementHalfBaths,FullBaths,HalfBaths,GuestRooms,Kitchens,KitchenQuality,TotalRooms,PropertyFunctionality,Lounges,ParkingCapacity,ParkingArea,DrivewayType,TerraceArea,OpenVerandaArea,EnclosedVerandaArea,SeasonalPorchArea,ScreenPorchArea,SwimmingPoolArea,ExtraFacilityValue,MonthSold,YearSold,DealType,DealCondition,HotelValue
1244,-0.8675661948612713,RL,0.3035468235060971,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,2.827508511235046,-0.5231298866160364,1.1342780111045527,1.0128219018732783,Gable,CompShg,VinylSd,VinylSd,-0.6038988097994383,Ex,TA,PConc,Ex,Gd,Gd,GLQ,2.039360641409875,Unf,-0.28409712080085825,0.26687019051222893,2.297617645506553,GasA,Ex,Y,SBrkr,2.3429900395861214,-0.7990489284972221,-0.11737913368279436,1.0576642501914355,1.095229229837857,-0.24135945019148206,0.7748354424867502,1.240487103598026,-1.0971183631168773,-0.2119105538809366,Ex,0.2786765050001847,Typ,0.5941361787118566,1.645137198812023,1.7665651650389185,Y,0.9285870013451806,2.600817828405077,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,0.9885367038991194,-1.3781310807876073,New,Partial,465000.0
745,1.4766793215393716,RL,-0.49514392158334675,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,1.3687766911653751,-0.5231298866160364,0.7091587988125247,0.38469032561410677,Gable,CompShg,HdBoard,HdBoard,-0.5980830966231374,Gd,TA,PConc,Gd,TA,No,GLQ,0.6206510477031849,Unf,-0.28409712080085825,0.07481164295707136,0.6221889857120985,GasA,Gd,Y,SBrkr,0.433540619925402,-0.7990489284972221,-0.11737913368279436,-0.3601136743162613,1.095229229837857,-0.24135945019148206,0.7748354424867502,-0.7629913948106298,-1.0971183631168773,-0.2119105538809366,Gd,-0.9598857394450803,Typ,0.5941361787118566,0.2911148129585062,-0.07311298203043683,Y,-0.0007163379907381128,-0.7130632827634451,0.791278307974563,5.219621580089719,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,1.3621568754515425,0.133530068156807,WD,Normal,180000.0
938,0.07013201169898592,RL,-0.09279029764469095,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,0.6394107811305394,-0.5231298866160364,1.101576533235935,0.9645040883148805,Gable,CompShg,VinylSd,VinylSd,-0.5980830966231374,Gd,TA,PConc,Gd,TA,Mn,GLQ,-0.23100922907020344,Unf,-0.28409712080085825,0.44999578236714655,0.11434592780417178,GasA,Ex,Y,SBrkr,-0.1452370120150597,1.1600376498095875,-0.11737913368279436,0.8562208373723446,-0.8234205158634983,-0.24135945019148206,0.7748354424867502,1.240487103598026,0.14607524948015102,-0.2119105538809366,Gd,0.8979576272228172,Typ,0.5941361787118566,0.2911148129585062,1.0031935627756035,Y,-0.744159009459473,-0.018450648108034328,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-1.6268044969678424,0.8893606426290142,WD,Normal,253000.0
345,2.414377528099629,RM,-0.758647942120742,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,-0.8193210389391319,-2.319284003752643,0.15323367504602667,-0.43671250487865604,Gable,CompShg,CemntBd,CmentBd,-0.5980830966231374,TA,TA,CBlock,Gd,TA,No,Rec,-0.6916010114068318,BLQ,1.1892577920369447,-0.8832478558936564,-1.1938033776104429,GasA,TA,Y,SBrkr,-1.6361061800045524,0.5161420611353214,-0.11737913368279436,-0.7917781303571704,-0.8234205158634983,-0.24135945019148206,-1.0590945989020073,1.240487103598026,0.14607524948015102,-0.2119105538809366,TA,-1.5791668616677128,Typ,-0.9625524991358024,-1.0629075728950106,-0.6705342359756399,Y,0.6652843885333369,-0.7130632827634451,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-0.8795641538629962,1.6451912171012213,WD,Normal,85000.0
1233,0.7734056666191789,RL,-0.07709098568259853,Pave,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,Duplex,1Story,-1.5486869489739674,-0.5231298866160364,-0.30458701511461883,-1.1131618946962254,Gable,CompShg,HdBoard,HdBoard,-0.5980830966231374,TA,TA,Slab,TA,TA,No,Unknown,-0.9718667657531764,Unknown,-0.28409712080085825,-1.2740646677791514,-2.408999266175839,GasA,TA,Y,SBrkr,0.14156797524115122,-0.7990489284972221,-0.11737913368279436,-0.5769051566834734,-0.8234205158634983,-0.24135945019148206,0.7748354424867502,-0.7629913948106298,-1.0971183631168773,4.249364264665088,TA,-0.3406046172224478,Typ,-0.9625524991358024,0.2911148129585062,-0.07311298203043683,Y,-0.744159009459473,-0.7130632827634451,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-1.2531843254154194,-0.6223005063154001,WD,Normal,101800.0
866,-0.8675661948612713,RL,-0.179747564500592,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,-0.8193210389391319,0.37494717195226707,-0.04297519216567854,-0.7266193862290429,Gable,CompShg,MetalSd,MetalSd,-0.1560888952242692,TA,TA,CBlock,TA,TA,No,BLQ,0.8270483086559193,Unf,-0.28409712080085825,-0.8854810948187163,-0.137308444641274,GasA,TA,Y,SBrkr,-0.4320419992712706,-0.7990489284972221,-0.11737913368279436,-1.0028140866438369,1.095229229837857,-0.24135945019148206,-1.0590945989020073,-0.7629913948106298,0.14607524948015102,-0.2119105538809366,TA,-0.9598857394450803,Typ,-0.9625524991358024,0.2911148129585062,2.013119968254399,Y,-0.744159009459473,-0.7130632827634451,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,0.6149165323466963,0.8893606426290142,WD,Normal,148500.0
1089,2.414377528099629,RM,-0.7652284920449725,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Twnhs,2Story,0.6394107811305394,-0.5231298866160364,1.0688750553673176,0.9161862747564827,Gable,CompShg,VinylSd,VinylSd,-0.30729743780809254,Gd,TA,PConc,Gd,TA,No,Unf,-0.9718667657531764,Unf,-0.28409712080085825,0.8921770895290209,-0.20985745291383495,GasA,Ex,Y,SBrkr,-0.514724518119908,0.8883228446598085,-0.11737913368279436,0.35357155967137494,-0.8234205158634983,-0.24135945019148206,0.7748354424867502,-0.7629913948106298,0.14607524948015102,-0.2119105538809366,Gd,0.2786765050001847,Maj1,-0.9625524991358024,0.2911148129585062,-0.46191094094715623,Y,-0.744159009459473,-0.1342194205506028,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-0.8795641538629962,-1.3781310807876073,WD,Normal,137500.0
351,1.4766793215393716,RL,-0.26717487063679524,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,2.0981426012002107,-0.5231298866160364,1.1669794889731702,1.0611397154316762,Hip,CompShg,MetalSd,MetalSd,1.5072050731977877,Ex,TA,PConc,Ex,TA,No,Unf,-0.9718667657531764,Unf,-0.28409712080085825,2.899858883157935,1.8283162482434243,GasA,Ex,Y,SBrkr,1.8081374957839984,-0.7990489284972221,-0.11737913368279436,0.6605329506337991,-0.8234205158634983,-0.24135945019148206,0.7748354424867502,-0.7629913948106298,-1.0971183631168773,-0.2119105538809366,Ex,-0.3406046172224478,Typ,0.5941361787118566,0.2911148129585062,0.6618099890926303,Y,0.8821218343783847,0.06837593122389202,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,2.109397218556389,-0.6223005063154001,New,Partial,318061.0
589,-0.8675661948612713,RL,1.356810842807195,Pave,IR1,Low,AllPub,Inside,Sev,ClearCr,Norm,Norm,1Fam,1Story,-0.8193210389391319,2.171101289088874,-0.10837814790291361,0.8678684611980849,Flat,Tar&Grv,Wd Sdng,Wd Sdng,-0.5980830966231374,TA,TA,CBlock,TA,TA,Gd,GLQ,1.90465927110388,Unf,-0.28409712080085825,-1.0217086692473747,0.8489046365638514,GasA,Ex,Y,SBrkr,0.7849413250321109,-0.7990489284972221,-0.11737913368279436,-0.09919649199820076,3.013878975539212,-0.24135945019148206,-1.0590945989020073,-0.7629913948106298,-2.3403119757139055,-0.2119105538809366,Ex,-0.9598857394450803,Typ,2.150824856559516,-1.0629075728950106,-0.1205273672641831,Y,-0.744159009459473,-0.018450648108034328,-0.34877482690697265,-0.12244894796701473,0.7828139069511594,-0.07003516436576918,-0.09148494836611275,-0.13232381075814997,0.8893606426290142,WD,Partial,143000.0
1428,-0.1642925399410784,RL,0.025189561711153212,Pave,Reg,Bnk,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,-0.8193210389391319,0.37494717195226707,-0.8605121388811169,-1.6929756573969992,Gable,CompShg,MetalSd,MetalSd,-0.5980830966231374,TA,TA,CBlock,TA,TA,No,BLQ,0.28824282743193896,Unf,-0.28409712080085825,-0.5303961057341808,-0.33908537389933413,GasA,TA,Y,FuseA,-0.31318587842635437,0.3654430935732591,-0.11737913368279436,0.0638767469505871,1.095229229837857,-0.24135945019148206,-1.0590945989020073,1.240487103598026,0.14607524948015102,-0.2119105538809366,TA,-0.3406046172224478,Typ,0.5941361787118566,-1.0629075728950106,-0.898123285097622,Y,-0.744159009459473,-0.7130632827634451,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-0.8795641538629962,0.133530068156807,WD,Normal,140000.0
949,0.07013201169898592,RL,0.3143577269530469,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.6394107811305394,-0.5231298866160364,1.0034720996300825,0.8195506476396871,Gable,CompShg,VinylSd,VinylSd,0.23937960076419185,Gd,TA,PConc,Gd,TA,No,Unf,-0.9718667657531764,Unf,-0.28409712080085825,0.8162469660769819,-0.28694077420343095,GasA,Ex,Y,SBrkr,-0.6025746943965852,1.1189379313835706,-0.11737913368279436,0.48211164213689006,-0.8234205158634983,-0.24135945019148206,0.7748354424867502,1.240487103598026,0.14607524948015102,-0.2119105538809366,Gd,0.2786765050001847,Typ,0.5941361787118566,0.2911148129585062,-0.0162157197499413,Y,0.37100499774362933,0.6761619865473765,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-1.6268044969678424,-1.3781310807876073,WD,Normal,192500.0
1450,2.883226631379758,RM,-0.8582022616887413,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,-0.8193210389391319,1.2730242305205706,-0.04297519216567854,-0.7266193862290429,Gable,CompShg,CemntBd,CmentBd,-0.5980830966231374,TA,TA,CBlock,Gd,TA,Av,GLQ,0.22958255326642496,Unf,-0.28409712080085825,-1.1021052705495336,-0.980690665809795,GasA,Ex,Y,SBrkr,-1.3932262808866802,-0.7990489284972221,-0.11737913368279436,-1.7164993206314731,1.095229229837857,-0.24135945019148206,-1.0590945989020073,-0.7629913948106298,-2.3403119757139055,-0.2119105538809366,Ex,-2.198447983890345,Typ,-0.9625524991358024,-2.4169299587485273,-2.2636575798295144,Y,-0.744159009459473,-0.7130632827634451,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,0.6149165323466963,-1.3781310807876073,WD,Abnorml,92000.0
990,0.07013201169898592,FV,-0.238502474538363,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,0.6394107811305394,-0.5231298866160364,1.1342780111045527,1.0128219018732783,Gable,CompShg,VinylSd,VinylSd,-0.5980830966231374,Gd,TA,PConc,Gd,Gd,No,Unf,-0.9718667657531764,Unf,-0.28409712080085825,0.4455293045170266,-0.6632887546173409,GasA,Ex,Y,SBrkr,-1.0108196312117324,1.023038588389531,-0.11737913368279436,0.09840990343385982,-0.8234205158634983,-0.24135945019148206,0.7748354424867502,1.240487103598026,0.14607524948015102,-0.2119105538809366,Gd,-0.3406046172224478,Typ,-0.9625524991358024,0.2911148129585062,0.6475856735225065,Y,-0.744159009459473,0.010491545002607789,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,0.6149165323466963,-1.3781310807876073,New,Partial,197000.0
678,-0.633141643221207,RL,-0.1541774276521541,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,-0.8193210389391319,2.171101289088874,-1.5472431741220851,1.0128219018732783,Gable,CompShg,VinylSd,VinylSd,-0.5980830966231374,Gd,TA,BrkTil,TA,TA,No,Unf,-0.9718667657531764,Unf,-0.28409712080085825,0.44106282666690666,-0.6678230676343759,GasA,Ex,Y,SBrkr,-0.9746460292154534,-0.7990489284972221,-0.11737913368279436,-1.4057009122820188,-0.8234205158634983,-0.24135945019148206,-1.0590945989020073,-0.7629913948106298,-1.0971183631168773,-0.2119105538809366,Gd,-0.9598857394450803,Typ,-0.9625524991358024,-1.0629075728950106,-1.125712334219604,N,1.7030064507917795,-0.7130632827634451,1.6056019757470885,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-0.5059439823105731,0.8893606426290142,WD,Normal,109500.0
479,-0.8675661948612713,RL,-0.0023547401145538314,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,1.3687766911653751,-0.5231298866160364,1.1669794889731702,1.1094575289900739,Hip,CompShg,VinylSd,VinylSd,1.3559965306139643,Gd,TA,PConc,Ex,TA,Gd,GLQ,1.826445572216528,Unf,-0.28409712080085825,-0.3428040360291433,1.4565025808465495,GasA,Ex,Y,SBrkr,1.4179793599669908,-0.7990489284972221,-0.11737913368279436,0.3708381379130113,1.095229229837857,-0.24135945019148206,0.7748354424867502,-0.7629913948106298,0.14607524948015102,-0.2119105538809366,Gd,0.2786765050001847,Typ,0.5941361787118566,1.645137198812023,1.6527706404779274,Y,0.8666334453894526,-0.07633503432931857,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,0.9885367038991194,0.8893606426290142,WD,Normal,297000.0
1272,-0.8675661948612713,RL,-0.141580374940056,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,-0.0899551289042962,1.2730242305205706,-0.10837814790291361,-0.8232550133458385,Hip,CompShg,BrkFace,BrkFace,-0.5980830966231374,TA,TA,CBlock,TA,TA,No,Unf,-0.9718667657531764,Unf,-0.28409712080085825,2.051228091635146,0.966796775006763,GasA,Gd,Y,SBrkr,0.8262825844564295,-0.7990489284972221,-0.11737913368279436,-0.06850035290195833,-0.8234205158634983,-0.24135945019148206,0.7748354424867502,-0.7629913948106298,0.14607524948015102,-0.2119105538809366,Gd,0.2786765050001847,Typ,0.5941361787118566,0.2911148129585062,-0.07311298203043683,Y,-0.744159009459473,-0.7130632827634451,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,0.6149165323466963,0.8893606426290142,WD,Normal,185750.0
1411,0.07013201169898592,RL,0.16526126724119927,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0.6394107811305394,-0.5231298866160364,0.970770621761465,0.7712328340812893,Gable,CompShg,VinylSd,VinylSd,-0.5980830966231374,Gd,TA,PConc,Gd,TA,No,GLQ,0.47508666366283536,Unf,-0.28409712080085825,-0.6532242466124794,-0.26880352213529074,GasA,Ex,Y,SBrkr,-0.5819040646844259,1.24680372204229,-0.11737913368279436,0.6048961985218597,1.095229229837857,-0.24135945019148206,0.7748354424867502,1.240487103598026,0.14607524948015102,-0.2119105538809366,Gd,-0.3406046172224478,Typ,-0.9625524991358024,0.2911148129585062,0.6855171817095035,Y,-0.744159009459473,-0.061863937773997506,-0.34877482690697265,-0.12244894796701473,-0.2750030162214594,-0.07003516436576918,-0.09148494836611275,-0.13232381075814997,0.8893606426290142,WD,Normal,230000.0
